frame,t_s,torso_lean_deg,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
226,7.533,12.957,37.759,87.232,6.638,6.014,43.809,61.580,-0.957,0.485
227,7.567,-24.791,3.103,8.062,-42.079,17.820,-5.793,6.918,-18.282,3.496
228,7.600,-15.867,6.815,49.111,-22.493,28.037,6.450,1.608,-4.981,24.644
229,7.633,-10.196,4.160,76.306,-11.801,27.628,13.867,64.267,8.676,32.118
230,7.667,1.740,12.024,118.977,8.304,39.074,19.317,39.522,15.344,23.754
231,7.700,7.012,28.502,102.654,3.169,6.943,45.075,72.663,-8.441,7.897
232,7.733,-4.001,23.411,95.067,-22.147,16.131,42.529,83.611,-22.384,3.593
233,7.767,-14.584,15.105,56.112,-35.367,8.672,24.223,60.438,-21.062,11.366
234,7.800,-8.918,24.428,88.711,-21.994,11.862,42.717,89.880,-21.143,3.996
235,7.833,-4.026,30.626,97.459,-7.509,11.091,50.217,93.944,-19.349,3.309
236,7.867,1.336,38.576,106.814,4.573,4.866,59.084,100.716,-14.710,4.158
237,7.900,2.938,43.998,110.025,6.004,3.422,53.641,95.865,-13.017,6.234
238,7.933,11.299,45.896,90.126,23.891,6.398,60.188,90.551,-1.056,2.988
239,7.967,5.192,37.628,84.643,13.697,6.496,42.190,89.901,-4.869,8.512
240,8.000,1.488,34.430,86.222,10.887,1.337,44.812,95.475,-9.157,5.142
241,8.033,-1.904,21.125,58.723,-1.333,0.797,31.561,73.028,-10.272,8.549
242,8.067,-1.843,10.695,19.578,0.358,16.647,20.947,42.384,11.697,101.392
243,8.100,-9.376,8.578,6.838,-15.970,18.195,6.899,26.596,4.158,100.632
244,8.133,-6.757,9.878,75.286,-21.425,29.662,17.602,93.987,-26.711,41.605
245,8.167,2.801,20.597,84.967,10.362,28.922,32.717,101.008,-8.950,9.242
246,8.200,5.210,21.248,79.996,18.819,14.568,52.049,115.296,-0.165,13.518
247,8.233,4.039,18.044,66.357,22.113,12.685,53.507,108.514,-0.988,22.731
248,8.267,9.116,21.419,69.055,21.083,16.383,56.242,94.281,7.246,16.397
249,8.300,9.039,18.776,75.315,25.805,13.777,66.112,109.885,6.681,13.917
250,8.333,-6.484,9.180,24.643,-8.152,20.601,-4.705,14.420,3.688,18.458
251,8.367,6.268,5.551,32.166,-5.070,1.099,36.541,72.184,4.653,2.040
252,8.400,-15.851,-2.072,9.733,-17.459,15.617,-17.237,24.997,-8.828,13.704
253,8.433,9.785,7.524,47.192,6.105,0.394,29.781,53.016,2.083,2.282
254,8.467,8.310,10.058,63.112,2.157,1.888,33.054,45.075,0.032,6.721
255,8.500,-11.403,0.399,38.742,-11.895,2.279,16.281,53.883,-27.462,14.380
256,8.533,-20.447,0.910,12.145,-18.340,27.147,-5.886,12.441,-13.889,19.056
257,8.567,-18.893,-0.786,5.087,-18.722,29.925,-1.395,55.647,-14.920,22.502
258,8.600,-5.831,3.385,46.795,1.406,33.659,-0.645,22.014,7.013,29.813
259,8.633,-13.306,6.967,17.890,-12.088,20.413,0.125,12.728,-3.552,34.013
260,8.667,11.880,12.803,61.878,12.107,1.532,31.268,46.078,2.962,12.086
261,8.700,15.303,30.164,78.230,22.432,11.808,40.363,61.126,5.025,10.109
262,8.733,12.056,31.292,76.251,13.812,10.008,40.507,62.139,-1.150,3.734
263,8.767,14.224,38.061,83.457,23.842,3.696,35.949,69.825,1.639,2.574
264,8.800,0.441,27.159,79.677,-7.258,0.224,33.405,82.185,-12.579,3.986
265,8.833,-0.461,24.623,87.934,-10.397,7.338,34.939,89.779,-14.391,3.331
266,8.867,3.542,32.418,78.517,1.500,11.147,41.493,77.132,-12.503,0.326
267,8.900,1.127,29.626,86.219,-3.475,6.039,45.369,85.482,-16.851,3.266
268,8.933,-13.127,19.445,84.581,-40.295,3.435,32.579,73.280,-23.603,2.549
269,8.967,13.911,38.941,78.183,15.846,4.825,39.322,57.415,1.784,5.392
270,9.000,13.813,14.249,11.580,15.228,17.535,15.587,35.197,1.666,10.586
271,9.033,-2.710,29.472,79.061,-0.350,22.021,39.713,57.624,-12.097,0.561
272,9.067,-5.218,24.888,94.802,-5.367,24.014,37.900,76.931,-18.008,0.160
273,9.100,2.602,34.423,98.282,1.335,13.005,45.549,87.536,-10.859,1.188
274,9.133,10.769,37.940,83.466,14.048,11.485,50.203,81.539,-2.742,4.110
275,9.167,10.175,33.225,80.138,15.180,13.459,44.633,75.839,-2.436,5.936
276,9.200,-6.778,17.567,64.089,-25.432,13.755,22.443,58.671,-17.269,6.897
277,9.233,-5.360,18.066,61.296,-20.629,17.361,22.847,59.774,-13.480,10.921
278,9.267,-0.892,19.945,57.812,-5.834,28.946,26.199,60.498,-9.842,17.195
279,9.300,1.630,18.750,65.637,0.974,30.078,24.303,62.103,-7.874,14.115
280,9.333,4.975,20.851,66.839,4.319,19.885,29.872,65.588,-6.632,11.730
281,9.367,13.260,23.370,64.891,19.732,12.223,37.046,68.525,3.377,11.452
282,9.400,-20.893,-3.260,16.069,-37.242,5.489,-5.725,1.994,-21.017,31.864
283,9.433,16.252,20.595,54.534,25.738,7.884,39.735,62.730,3.360,8.903
284,9.467,1.422,6.796,25.367,-4.103,32.625,16.432,3.910,-13.424,22.443
285,9.500,10.813,9.555,32.072,24.098,3.236,34.687,51.801,3.468,11.464
286,9.533,2.536,0.679,12.656,-0.187,21.563,17.682,32.777,-12.587,11.721
287,9.567,2.098,-0.076,1.461,-2.472,25.685,7.688,17.512,-13.168,14.438
288,9.600,0.583,4.736,5.472,7.927,60.307,-2.470,13.812,0.914,95.302
289,9.633,5.920,11.381,43.264,-8.137,3.502,35.926,79.313,2.718,8.977
290,9.667,9.843,15.510,46.130,4.680,3.464,41.890,84.089,4.422,8.774
291,9.700,-19.611,4.438,19.326,-34.011,9.764,8.419,29.305,-40.856,26.568
292,9.733,5.863,13.717,44.380,3.549,11.581,32.845,73.731,-4.245,6.352
