frame,t_s,torso_lean_deg,torso_up,hip_y,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
105,3.5000,-39.6514,0.7665,-0.0038,4.0046,34.1203,-89.5505,2.9366,3.8206,40.9686,-100.5666,96.6349
106,3.5333,-40.0571,0.7611,-0.0039,3.4260,33.5341,-91.9129,5.6091,3.5859,41.0245,-107.8672,135.5783
107,3.5667,-41.3647,0.7460,-0.0040,2.6480,34.5931,-94.3324,8.1351,3.0472,40.7675,-138.1200,125.0611
108,3.6000,-39.6083,0.7680,-0.0038,4.8925,35.4137,-89.1768,3.2223,5.6391,43.1823,-103.0340,98.8258
109,3.6333,-38.8608,0.7771,-0.0038,5.1246,34.5644,-87.5760,0.7713,6.6879,43.8030,-101.3835,98.7158
110,3.6667,-38.8906,0.7768,-0.0038,5.6331,34.8123,-87.8470,0.4728,7.1384,43.6533,-103.6521,114.0809
111,3.7000,-40.6893,0.7537,-0.0039,4.2431,35.2855,-92.8368,4.9358,5.8446,43.2990,-119.4425,147.2532
112,3.7333,-40.9709,0.7494,-0.0039,4.2867,35.9860,-93.2972,5.0443,5.6036,43.2245,-138.5889,121.6968
113,3.7667,-40.8013,0.7528,-0.0038,3.0062,33.1151,-90.8266,3.3751,3.3922,40.9551,-97.6775,41.0205
114,3.8000,-40.4168,0.7541,-0.0038,3.0561,32.8374,-92.7066,3.7771,2.8925,40.0174,-113.5627,60.5861
115,3.8333,-40.1802,0.7588,-0.0038,3.1813,33.1740,-90.6283,0.9967,4.2355,41.8028,-102.4422,100.1547
116,3.8667,-38.3981,0.7801,-0.0037,5.1999,33.4909,-86.7389,2.2671,6.4324,41.8322,-104.3826,98.3353
117,3.9000,-38.2134,0.7836,-0.0037,8.9554,37.6402,-85.5063,2.1632,9.5870,45.3500,-106.0693,103.9800
118,3.9333,-39.3253,0.7713,-0.0036,6.0497,34.4742,-86.5442,3.0419,8.3130,46.5000,-93.7064,74.6177
119,3.9667,-40.8158,0.7537,-0.0036,4.8423,35.0669,-92.8295,2.5126,7.4027,45.6205,-141.6732,166.3739
